compilation_file,flag
/.concat_path_file.o,fstack-protector-strong
/.concat_subpath_file.o,D_FORTIFY_SOURCE=2
/.concat_subpath_file.o,O2
/.concat_subpath_file.o,fstack-protector-strong
/.console.o,PIE
/.console.o,PIE
/.copy_file.o,D_FORTIFY_SOURCE=2
/.copy_file.o,O2
/.copy_file.o,fstack-protector-strong
/.copyfd.o,D_FORTIFY_SOURCE=2
/.copyfd.o,O2
/.copyfd.o,fstack-protector-strong
/.correct_password.o,D_FORTIFY_SOURCE=2
/.correct_password.o,O2
/.correct_password.o,fstack-protector-strong
/.cp.o,D_FORTIFY_SOURCE=2
/.cp.o,O2
/.cp.o,fstack-protector-strong
/.cp_mv_stat.o,D_FORTIFY_SOURCE=2
/.cp_mv_stat.o,O2
/.cp_mv_stat.o,fstack-protector-strong
/.cpio.o,D_FORTIFY_SOURCE=2
/.cpio.o,O2
/.cpio.o,fstack-protector-strong
/.cpu-dt.o,PIE
/.cpu.o,PIE
/.cpu.o,PIE
/.crc16.o,O2
/.crc16.o,PIE
/.crc32.o,D_FORTIFY_SOURCE=2
/.crc32.o,O2
/.crc32.o,PIE
/.crc32.o,fstack-protector-strong
/.crc7.o,PIE
/.crc8.o,O2
/.crc8.o,PIE
/.crt0_64.o,PIE
/.crt0_aarch64_efi.o,PIE
/.cttyhack.o,D_FORTIFY_SOURCE=2
/.cttyhack.o,O2
/.cttyhack.o,fstack-protector-strong
/.ctype.o,PIE
/.cut.o,D_FORTIFY_SOURCE=2
/.cut.o,O2
/.cut.o,fstack-protector-strong
/.data.o,O2
/.data_align.o,D_FORTIFY_SOURCE=2
/.data_align.o,O2
/.data_align.o,fstack-protector-strong
/.data_extract_all.o,D_FORTIFY_SOURCE=2
/.data_extract_all.o,O2
/.data_extract_all.o,fstack-protector-strong
/.data_extract_to_stdout.o,D_FORTIFY_SOURCE=2
/.data_extract_to_stdout.o,O2
/.data_extract_to_stdout.o,fstack-protector-strong
/.data_skip.o,D_FORTIFY_SOURCE=2
/.data_skip.o,O2
/.data_skip.o,fstack-protector-strong
/.date.o,D_FORTIFY_SOURCE=2
/.date.o,O2
/.date.o,PIE
/.date.o,fstack-protector-strong
/.dd.o,D_FORTIFY_SOURCE=2
/.dd.o,O2
/.dd.o,fstack-protector-strong
/.deallocvt.o,D_FORTIFY_SOURCE=2
/.deallocvt.o,O2
/.deallocvt.o,fstack-protector-strong
/.decompress_bunzip2.o,D_FORTIFY_SOURCE=2
/.decompress_bunzip2.o,O2
/.decompress_bunzip2.o,fstack-protector-strong
/.decompress_gunzip.o,D_FORTIFY_SOURCE=2
/.decompress_gunzip.o,O2
/.decompress_gunzip.o,fstack-protector-strong
/.decompress_uncompress.o,D_FORTIFY_SOURCE=2
/.decompress_uncompress.o,O2
/.decompress_uncompress.o,fstack-protector-strong
/.decompress_unlzma.o,D_FORTIFY_SOURCE=2
/.decompress_unlzma.o,O2
/.decompress_unlzma.o,fstack-protector-strong
/.decompress_unxz.o,D_FORTIFY_SOURCE=2
/.decompress_unxz.o,O2
/.decompress_unxz.o,fstack-protector-strong
/.default_error_retval.o,D_FORTIFY_SOURCE=2
/.default_error_retval.o,O2
/.default_error_retval.o,fstack-protector-strong
/.default_image.o,O2
/.deluser.o,D_FORTIFY_SOURCE=2
/.deluser.o,O2
/.deluser.o,fstack-protector-strong
/.depmod.o,D_FORTIFY_SOURCE=2
/.depmod.o,O2
/.depmod.o,fstack-protector-strong
/.dev.o,PIE
/.device-remove.o,PIE
/.device.o,PIE
/.device_open.o,D_FORTIFY_SOURCE=2
/.device_open.o,O2
/.device_open.o,fstack-protector-strong
/.devmem.o,D_FORTIFY_SOURCE=2
/.devmem.o,O2
/.devmem.o,fstack-protector-strong
/.df.o,D_FORTIFY_SOURCE=2
/.df.o,O2
/.df.o,fstack-protector-strong
/.dhcpc.o,D_FORTIFY_SOURCE=2
/.dhcpc.o,O2
/.dhcpc.o,fstack-protector-strong
/.dhcpd.o,D_FORTIFY_SOURCE=2
/.dhcpd.o,O2
/.dhcpd.o,fstack-protector-strong
/.diff.o,D_FORTIFY_SOURCE=2
/.diff.o,O2
/.diff.o,fstack-protector-strong
/.dirname.o,D_FORTIFY_SOURCE=2
/.dirname.o,O2
/.dirname.o,fstack-protector-strong
/.display_options.o,PIE
/.div64.o,PIE
/.dlmalloc.o,PIE
/.dm.o,PIE
/.dmesg.o,D_FORTIFY_SOURCE=2
/.dmesg.o,O2
/.dmesg.o,fstack-protector-strong
/.domain_codec.o,D_FORTIFY_SOURCE=2
/.domain_codec.o,O2
/.domain_codec.o,fstack-protector-strong
/.dtc-lexer.lex.o,O2
/.dtc-parser.tab.o,O2
/.dtc.o,O2
/.du.o,D_FORTIFY_SOURCE=2
/.du.o,O2
/.du.o,fstack-protector-strong
/.dump.o,D_FORTIFY_SOURCE=2
/.dump.o,O2
/.dump.o,PIE
/.dump.o,fstack-protector-strong
/.dumpimage.o,O2
/.dumpkmap.o,D_FORTIFY_SOURCE=2
/.dumpkmap.o,O2
/.dumpkmap.o,fstack-protector-strong
/.dumpleases.o,D_FORTIFY_SOURCE=2
/.dumpleases.o,O2
/.dumpleases.o,fstack-protector-strong
/.duration.o,D_FORTIFY_SOURCE=2
/.duration.o,O2
/.duration.o,fstack-protector-strong
/.e1000.o,PIE
/.e1000_spi.o,PIE
/.e2fs_lib.o,D_FORTIFY_SOURCE=2
/.e2fs_lib.o,O2
/.e2fs_lib.o,fstack-protector-strong
/.ecdsa-libcrypto.o,O2
/.echo.o,D_FORTIFY_SOURCE=2
/.echo.o,O2
/.echo.o,PIE
/.echo.o,fstack-protector-strong
/.efi_block_device.o,PIE
/.efi_bootmgr.o,PIE
/.efi_boottime.o,PIE
/.efi_console.o,PIE
/.efi_crt0.o,PIE
/.efi_device_path.o,PIE
/.efi_device_path_to_text.o,PIE
/.efi_device_path_utilities.o,PIE
/.efi_disk.o,PIE
/.efi_file.o,PIE
/.efi_image_loader.o,PIE
/.efi_memory.o,PIE
/.efi_net.o,PIE
/.efi_reloc.o,PIE
/.efi_root_node.o,PIE
/.efi_runtime.o,PIE
/.efi_smbios.o,PIE
/.efi_uclass.o,PIE
/.efi_unicode_collation.o,PIE
/.efi_variable.o,PIE
/.efi_watchdog.o,PIE
/.elf.o,PIE
/.endofname.o,D_FORTIFY_SOURCE=2
/.endofname.o,O2
/.endofname.o,fstack-protector-strong
/.env.o,D_FORTIFY_SOURCE=2
/.env.o,O2
/.env.o,PIE
/.env.o,fstack-protector-strong
/.errno.o,PIE
/.eth-uclass.o,PIE
/.eth_common.o,PIE
/.eth_legacy.o,PIE
/.exception_level.o,PIE
/.exceptions.o,PIE
/.executable.o,D_FORTIFY_SOURCE=2
/.executable.o,O2
/.executable.o,fstack-protector-strong
/.exit.o,PIE
/.exports.o,PIE
/.expr.o,D_FORTIFY_SOURCE=2
/.expr.o,O2
/.expr.o,fstack-protector-strong
/.ext.o,D_FORTIFY_SOURCE=2
/.ext.o,O2
/.ext.o,fstack-protector-strong
/.ext2.o,PIE
/.ext4.o,PIE
/.ext4_journal.o,PIE
/.ext4_write.o,PIE
/.ext4_common.o,PIE
/.ext4fs.o,PIE
/.f2fs.o,D_FORTIFY_SOURCE=2
/.f2fs.o,O2
/.f2fs.o,fstack-protector-strong
/.false.o,D_FORTIFY_SOURCE=2
/.false.o,O2
/.false.o,fstack-protector-strong
/.fat.o,D_FORTIFY_SOURCE=2
/.fat.o,O2
/.fat.o,fstack-protector-strong
/.fbset.o,D_FORTIFY_SOURCE=2
/.fbset.o,O2
/.fbset.o,fstack-protector-strong
/.fclose_nonstdin.o,D_FORTIFY_SOURCE=2
/.fclose_nonstdin.o,O2
/.fclose_nonstdin.o,fstack-protector-strong
/.fdisk.o,D_FORTIFY_SOURCE=2
/.fdisk.o,O2
/.fdisk.o,fstack-protector-strong
/.fdt-libcrypto.o,O2
