compilation_file,flag
/.chattr.o,O2
/.chattr.o,fstack-protector-strong
/.checks.o,O2
/.checksum.o,PIE
/.chgrp.o,D_FORTIFY_SOURCE=2
/.chgrp.o,O2
/.chgrp.o,fstack-protector-strong
/.chmod.o,D_FORTIFY_SOURCE=2
/.chmod.o,O2
/.chmod.o,fstack-protector-strong
/.chomp.o,D_FORTIFY_SOURCE=2
/.chomp.o,O2
/.chomp.o,fstack-protector-strong
/.chown.o,D_FORTIFY_SOURCE=2
/.chown.o,O2
/.chown.o,fstack-protector-strong
/.chroot.o,D_FORTIFY_SOURCE=2
/.chroot.o,O2
/.chroot.o,fstack-protector-strong
/.chvt.o,D_FORTIFY_SOURCE=2
/.chvt.o,O2
/.chvt.o,fstack-protector-strong
/.clear.o,D_FORTIFY_SOURCE=2
/.clear.o,O2
/.clear.o,fstack-protector-strong
/.cli.o,PIE
/.cli.o,fstack-protector-strong
/.cli_hush.o,PIE
/.cli_hush.o,fstack-protector-strong
/.cli_readline.o,PIE
/.cli_readline.o,fstack-protector-strong
/.cli_simple.o,PIE
/.cli_simple.o,fstack-protector-strong
/.clock.o,PIE
/.clock.o,fstack-protector-strong
/.cmd_dm.o,PIE
/.cmp.o,D_FORTIFY_SOURCE=2
/.cmp.o,O2
/.cmp.o,fstack-protector-strong
/.command.o,PIE
/.command.o,fstack-protector-strong
/.common.o,D_FORTIFY_SOURCE=2
/.common.o,O2
/.common.o,PIE
/.common.o,fstack-protector-strong
/.common_bufsiz.o,D_FORTIFY_SOURCE=2
/.common_bufsiz.o,O2
/.common_bufsiz.o,fstack-protector-strong
/.common_fit.o,PIE
/.common_fit.o,fstack-protector-strong
/.compare_string_array.o,D_FORTIFY_SOURCE=2
/.compare_string_array.o,O2
/.compare_string_array.o,fstack-protector-strong
/.concat_path_file.o,D_FORTIFY_SOURCE=2
/.concat_path_file.o,O2
/.concat_path_file.o,fstack-protector-strong
/.concat_subpath_file.o,D_FORTIFY_SOURCE=2
/.concat_subpath_file.o,O2
/.concat_subpath_file.o,fstack-protector-strong
/.console.o,PIE
/.console.o,fstack-protector-strong
/.copy_file.o,D_FORTIFY_SOURCE=2
/.copy_file.o,O2
/.copy_file.o,fstack-protector-strong
/.copyfd.o,D_FORTIFY_SOURCE=2
/.copyfd.o,O2
/.copyfd.o,fstack-protector-strong
/.correct_password.o,D_FORTIFY_SOURCE=2
/.correct_password.o,O2
/.correct_password.o,fstack-protector-strong
/.cp.o,D_FORTIFY_SOURCE=2
/.cp.o,O2
/.cp.o,fstack-protector-strong
/.cp_mv_stat.o,D_FORTIFY_SOURCE=2
/.cp_mv_stat.o,O2
/.cp_mv_stat.o,fstack-protector-strong
/.cpio.o,D_FORTIFY_SOURCE=2
/.cpio.o,O2
/.cpio.o,fstack-protector-strong
/.cpu-dt.o,PIE
/.cpu-dt.o,fstack-protector-strong
/.cpu.o,PIE
/.cpu.o,fstack-protector-strong
/.crc16.o,O2
/.crc16.o,PIE
/.crc16.o,fstack-protector-strong
/.crc32.o,D_FORTIFY_SOURCE=2
/.crc32.o,O2
/.crc32.o,PIE
/.crc32.o,fstack-protector-strong
/.crc7.o,PIE
/.crc8.o,O2
/.crc8.o,PIE
/.crc8.o,fstack-protector-strong
/.crt0_64.o,PIE
/.crt0_aarch64_efi.o,PIE
/.cttyhack.o,D_FORTIFY_SOURCE=2
/.cttyhack.o,O2
/.cttyhack.o,fstack-protector-strong
/.ctype.o,PIE
/.ctype.o,fstack-protector-strong
/.cut.o,D_FORTIFY_SOURCE=2
/.cut.o,O2
/.cut.o,fstack-protector-strong
/.data.o,O2
/.data_align.o,D_FORTIFY_SOURCE=2
/.data_align.o,O2
/.data_align.o,fstack-protector-strong
/.data_extract_all.o,D_FORTIFY_SOURCE=2
/.data_extract_all.o,O2
/.data_extract_all.o,fstack-protector-strong
/.data_extract_to_stdout.o,D_FORTIFY_SOURCE=2
/.data_extract_to_stdout.o,O2
/.data_extract_to_stdout.o,fstack-protector-strong
/.data_skip.o,D_FORTIFY_SOURCE=2
/.data_skip.o,O2
/.data_skip.o,fstack-protector-strong
/.date.o,D_FORTIFY_SOURCE=2
/.date.o,O2
/.date.o,PIE
/.date.o,fstack-protector-strong
/.dd.o,D_FORTIFY_SOURCE=2
/.dd.o,O2
/.dd.o,fstack-protector-strong
/.deallocvt.o,D_FORTIFY_SOURCE=2
/.deallocvt.o,O2
/.deallocvt.o,fstack-protector-strong
/.decompress_bunzip2.o,D_FORTIFY_SOURCE=2
/.decompress_bunzip2.o,O2
/.decompress_bunzip2.o,fstack-protector-strong
/.decompress_gunzip.o,D_FORTIFY_SOURCE=2
/.decompress_gunzip.o,O2
/.decompress_gunzip.o,fstack-protector-strong
/.decompress_uncompress.o,D_FORTIFY_SOURCE=2
/.decompress_uncompress.o,O2
/.decompress_uncompress.o,fstack-protector-strong
/.decompress_unlzma.o,D_FORTIFY_SOURCE=2
/.decompress_unlzma.o,O2
/.decompress_unlzma.o,fstack-protector-strong
/.decompress_unxz.o,D_FORTIFY_SOURCE=2
/.decompress_unxz.o,O2
/.decompress_unxz.o,fstack-protector-strong
/.default_error_retval.o,D_FORTIFY_SOURCE=2
/.default_error_retval.o,O2
/.default_error_retval.o,fstack-protector-strong
/.default_image.o,O2
/.deluser.o,D_FORTIFY_SOURCE=2
/.deluser.o,O2
/.deluser.o,fstack-protector-strong
/.depmod.o,D_FORTIFY_SOURCE=2
/.depmod.o,O2
/.depmod.o,fstack-protector-strong
/.designware_spi.o,PIE
/.designware_spi.o,fstack-protector-strong
/.dev.o,PIE
/.dev.o,fstack-protector-strong
/.device-remove.o,PIE
